Ultrasound Pelvic,HC US PELVIC NONOBSTETRIC IMAGE DCMTN LIMITED/F/U,626,Massachusetts General Hospital
Ultrasound Uterus,HC US PREG UTERUS REAL TIME W/IMAGE DCMTN TRANSVAG,578,Massachusetts General Hospital
Computer Topography Heart,HC CT HEART CONTRAST EVAL CARDIAC STRUCTURE&MORPH,877,Massachusetts General Hospital
Computer Topography Abdomen,HC CT ABDOMEN & PELVIS W/O&W CONTRAS,2937,Massachusetts General Hospital
Computer Topography Pelvis,HC CT PELVIS W/O & W/CONTRAST MATERIAL,2842,Massachusetts General Hospital
Computer Topography Lumbar Spine,HC CT LUMBAR SPINE W/O & W/CONTRAST MATERIAL,2855,Massachusetts General Hospital
Computer Topography Thoracic Spine,HC CT THORACIC SPINE W/O & W/CONTRAST MATERIAL,2794,Massachusetts General Hospital
Computer Topography Cervical Spine,HC CT CERVICAL SPINE W/O &W/CONTRAST MATERIAL,2807,Massachusetts General Hospital
Computer Topography Head,HC CT HEAD/BRAIN W/O & W/CONTRAST MATERIAL,2296,Massachusetts General Hospital
MRI Chest,Chest MRI w con,4482,Baptist Hospital Miami
Ultrasound Uterus,HCPR US PREG UTERUS REAL TIME W/IMAGE DCMTN TRANSVAG,83,Martha's Vineyard Hospital
Ultrasound Abdomen,HCPR US ABDOMINAL REAL TIME W/IMAGE LIMITED,86,Martha's Vineyard Hospital
Fluoroscopy,FLUOROSCOPY   UP TO 1 HOUR,925,Northwestern Memorial Hospital
Computer Topography Head,CT HEAD/BRAIN WITHOUT CONTRAST,2395,Northwestern Memorial Hospital
Computer Topography Heart,HCPR ANESTH  CORRECT HEART RHYTHM  PER 15 MIN,338,Martha's Vineyard Hospital
Computer Topography Lumbar Spine,CT LUMBAR SPINE W/O DYE,3179,Northwestern Memorial Hospital
Computer Topography Pelvis,CT PELVIS W/O DYE,2255,Northwestern Memorial Hospital
Computer Topography Lower Extremity,CT LOWER EXTREMITY WITHOUT CONTRAST,2643,Northwestern Memorial Hospital
Computer Topography Abdomen,CT ABDOMEN W/O DYE,2649,Northwestern Memorial Hospital
MRI Abdomen,HC MRI ABDOMEN W/O & W/CONTRAST MATERIAL,3305,Martha's Vineyard Hospital
MRI Lower Extremity,HC MRI LOWER EXTREM OTH/THN JT W/O & W/CONTR MATR,2826,Martha's Vineyard Hospital
MRI Upper Extremity,HC MRI UPPER EXTREM OTHER THAN JT W/O & W/CONTRAS,3260,Martha's Vineyard Hospital
MRI Pelvis,HC MRI PELVIS W/O & W/CONTRAST MATERIAL,3075,Martha's Vineyard Hospital
MRI Chest,HC MRI CHEST W/O & W/CONTRAST MATERIAL,3191,Martha's Vineyard Hospital
MRI Brain,HC MRI BRAIN BRAIN STEM W/O W/CONTRAST MATERIAL,2575,Martha's Vineyard Hospital
Ultrasound Pelvic,US PELVIC   NONOBSTETRIC   LIMITED OR FOLLOW-UP,847,Northwestern Memorial Hospital
Ultrasound Abdomen,US ABDOMINAL WITH CONTRAST,937,Northwestern Memorial Hospital
Mammography,DIAGNOSTIC MAMMOGRAPHY INCL CAD UNILATERAL,380,Northwestern Memorial Hospital
Mammography,HC SCREENING MAMMOGRAPHY DIGITAL (52),431,Martha's Vineyard Hospital
Ultrasound Pelvic,HC US PELVIC NONOBSTETRIC IMAGE DCMTN LIMITED/F/U,677,Martha's Vineyard Hospital
Computer Topography Abdomen,HC CT ABDOMEN & PELVIS W/O&W CONTRAS,5600,Martha's Vineyard Hospital
Computer Topography Lower Extremity,HC CT LOWER EXTREMITY W/O & W/CONTRAST MATRL,2608,Martha's Vineyard Hospital
Computer Topography Pelvis,HC CT PELVIS W/O & W/CONTRAST MATERIAL,3238,Martha's Vineyard Hospital
MRI Chest,MRI CHEST W/O DYE,3002,Northwestern Memorial Hospital
Computer Topography Lumbar Spine,HC CT LUMBAR SPINE W/CONTRAST MATERIAL,2639,Martha's Vineyard Hospital
Computer Topography Thoracic Spine,HC CT THORACIC SPINE W/O & W/CONTRAST MATERIAL,3209,Martha's Vineyard Hospital
Computer Topography Cervical Spine,HC CT CERVICAL SPINE W/CONTRAST MATERIAL,2606,Martha's Vineyard Hospital
MRI Pelvis,MRI PELVIS W/O DYE,3329,Northwestern Memorial Hospital
MRI Upper Extremity,MRI UPPER EXTREMITY W/O DYE,3479,Northwestern Memorial Hospital
MRI Lower Extremity,MRI LOWER EXTREMITY W/O DYE,3479,Northwestern Memorial Hospital
MRI Abdomen,MRI ABDOMEN W/O DYE,3455,Northwestern Memorial Hospital
Computer Topography Head,HC CT HEAD/BRAIN W/O & W/CONTRAST MATERIAL,2706,Martha's Vineyard Hospital
MRI Cardiac,CARDIAC MRI FOR MORPH,3953,Northwestern Memorial Hospital
MRI Breast,MRI BREAST WITH CONTRAST   BILATERAL,368,Northwestern Memorial Hospital
MRI Brain,MRI BRAIN STEM W/O DYE,3607,Northwestern Memorial Hospital
Fluoroscopy,HC FLUOROSCOPY SPX >1 HOUR PHYS/QHP TIME,2120,Martha's Vineyard Hospital
Fluoroscopy,FLUOROSCOPY<1 HR,758,Cleveland Clinic Hospital
Fluoroscopy,Epidurography w fluoroscopy,1593,Baptist Hospital Miami
Computer Topography Heart,CT HEART W STRUC/MORP 3D,2186,Cleveland Clinic Hospital
Computer Topography Head,CT HEAD/BRAIN WO CONTR,1250,Cleveland Clinic Hospital
Ultrasound Uterus,US PREG UTERUS<14WK SNGL,767,Cleveland Clinic Hospital
Ultrasound Abdomen,US ABDOMEN (POC),688,Cleveland Clinic Hospital
MRI Breast,MRI BREAST WO CONTR BILAT,4028,Cleveland Clinic Hospital
MRI Brain,OPEN MRI BRAIN WO CONTR,2002,Cleveland Clinic Hospital
MRI Chest,MRI CHEST WO CONTR,1637,Cleveland Clinic Hospital
MRI Cardiac,MRI CARDIAC VELOCITY FLOW MAP,428,Cleveland Clinic Hospital
MRI Cardiac,CARDIAC MRI FOR VELOCITY FLOW MAPPING,2340,Cooper University Health Care
Computer Topography Abdomen,CT ABDOMEN & PELVIS W CONTRAST,3451,Cooper University Health Care
Computer Topography Cervical Spine,CT CERVICAL SPINE W CONTRAST,2808,Cooper University Health Care
Computer Topography Head,CT HEAD OR BRAIN WITH CONTRAST,2286,Cooper University Health Care
Computer Topography Lumbar Spine,CT LUMBAR SPINE WITH CONTRAST,2918,Cooper University Health Care
Computer Topography Pelvis,CT PELVIS WITH CONTRAST,2583,Cooper University Health Care
Computer Topography Thoracic Spine,CT THORACIC SPINE W CONTRAST,2848,Cooper University Health Care
Computer Topography Heart,Heart CT congenital w con func,1507,Baptist Hospital Miami
Fluoroscopy,FLUOROSCOPY MORE THAN 60 MIN T,1347,Cooper University Health Care
Computer Topography Head,CT HEAD/BRAIN W/O CONT  ,3221,Chippenham and Johnston-Willis Medical Center
Computer Topography Pelvis,CT PELVIS W/O CONTRAST  ,4478,Chippenham and Johnston-Willis Medical Center
Computer Topography Abdomen,CT ABDOMEN W/O CONT     ,3428,Chippenham and Johnston-Willis Medical Center
MRI Abdomen,MRI ABDOMEN WITH CONTRAST,3313,Cooper University Health Care
MRI Brain,MRI BRAIN WITH CONTRAST,4333,Cooper University Health Care
MRI Breast,MRI BREAST BIL W/O CONTRAST,2975,Cooper University Health Care
MRI Chest,MRI CHEST WITH CONTRAST,4921,Cooper University Health Care
MRI Pelvis,MRI PELVIS WITH CONTRAST,3622,Cooper University Health Care
Computer Topography Head,CT HEAD WITH CONTRAST- PER PROTOCOL,1824,Dallas County Hospital
Computer Topography Pelvis,CT PELVIS W/O CONTRAST- PER PROTOCOL,1607,Dallas County Hospital
Computer Topography Lumbar Spine,Lumbar spine CT w con and rec,4507,Baptist Hospital Miami
Fluoroscopy,XR FLUOROSCOPY 0-60 MIN ,1990,Chippenham and Johnston-Willis Medical Center
Ultrasound Abdomen,US ABDOMEN COMPLETE     ,2106,Chippenham and Johnston-Willis Medical Center
Ultrasound Pelvic,US PELVIC COMPLETE      ,1877,Chippenham and Johnston-Willis Medical Center
Ultrasound Abdomen,ULTRASOUND ABDOMEN COMPLETE,1178,Cooper University Health Care
Ultrasound Pelvic,ULTRASOUND PELVIC COMPLETE,3455,Cooper University Health Care
MRI Abdomen,MRI ABDOMEN WITH CONTRAST,3425,Dallas County Hospital
MRI Brain,MRI BRAIN W/O CONTRAST -PER PROTOCOL,2673,Dallas County Hospital
MRI Chest,MRI CHEST W/O,3008,Dallas County Hospital
MRI Pelvis,MRI PELVIS W/O CONTRAST- PER PROTOCOL,2993,Dallas County Hospital
MRI Chest,MRI CHEST W/CONTRAST    ,5606,Chippenham and Johnston-Willis Medical Center
MRI Pelvis,MRI PELVIS W/O CONT     ,5606,Chippenham and Johnston-Willis Medical Center
MRI Abdomen,MRI ABDOMEN W/CONT      ,5606,Chippenham and Johnston-Willis Medical Center
MRI Brain,MRI BRAIN W/O CONTRAST  ,5774,Chippenham and Johnston-Willis Medical Center
Ultrasound Abdomen,US ABDOMINAL PARACENTESIS INIT- PER PROT,568,Dallas County Hospital
MRI Pelvis,Pelvis MRI w con,4196,Baptist Hospital Miami
Computer Topography Heart,CT HEART WO CN W QUAN CA,1058,Chippenham and Johnston-Willis Medical Center
MRI Breast,CAD MRI BREAST          ,308,Chippenham and Johnston-Willis Medical Center
Fluoroscopy,Injection(s)   anesthetic agent and/or steroid   transforaminal epidural   with imaging guidance (fluoroscopy or CT); cervical or thoracic   single level,1748,Geisinger Medical Center
Ultrasound Abdomen,Sacroiliac orthosis   flexible   provides pelvic-sacral support   reduces motion about the sacroiliac joint   includes straps   closures   may include pendulous abdomen design   prefabricated   off-the-shelf,220,Geisinger Medical Center
MRI Breast,Computer-aided detection   including computer algorithm analysis of MRI image data for lesion detection/characterization   pharmacokinetic analysis   with further physician review for interpretation   breast MRI (List separately in addition to code for primary procedure) ,385,Geisinger Medical Center
Computer Topography Abdomen,CT ABDOMEN & PELVIS W/ CONTRAST,2552.08,Carolinas Medical Center
Computer Topography Head,CT HEAD SCAN W/ CONTRAST,1206.1,Carolinas Medical Center
Computer Topography Heart,CT HEART CONGENITAL DISEASE,1585.05,Carolinas Medical Center
Computer Topography Pelvis,CT PELVIS W/ & W/O CONTRAST,1667.15,Carolinas Medical Center
Mammography,Screening mammography   bilateral (2-view study of each breast)   including computer-aided detection (CAD) when performed,779,Geisinger Medical Center
Mammography,DIAGNOSTIC MAMMOGRAM BIL,244.8,Carolinas Medical Center
Computer Topography Abdomen,HB CT ABDOMEN W/ CONTRST,1940,Henry Ford Hospital
Computer Topography Head,HB CT HEAD / BRAIN W/CONTRST,1230,Henry Ford Hospital
Computer Topography Heart,HB CT HEART W/ CONTRST,2300,Henry Ford Hospital
Computer Topography Pelvis,HB CT PELVIS W/ & W/O CONTRST,2070,Henry Ford Hospital
Mammography,HB DX- MAMMOGRAM   BILATERAL   INCLUDING CAD WHEN PERFORMED,360,Henry Ford Hospital
Fluoroscopy,FLUOROSCOPY UP TO 1HR,334.75,Carolinas Medical Center
MRI Abdomen,HB MRI ABDOMEN W/ & W/O CONTRST,3840,Henry Ford Hospital
MRI Brain,HB MRI BRAIN FUNCT W/STIM (PHY ADM NOT REQ),3120,Henry Ford Hospital
MRI Breast,HB MRI BREAST W&W/O CNTRST BILAT,4200,Henry Ford Hospital
MRI Cardiac,HB MRI CARDIAC VELOCTY FLW MAPPING,461,Henry Ford Hospital
MRI Chest,HB MRI CHEST W/ CONTRST,3590,Henry Ford Hospital
MRI Pelvis,HB MRI PELVIS W/ & W/O CONTRST,3440,Henry Ford Hospital
Fluoroscopy,HB TRMT RM FLUOROSCOPY PER HR,1650,Henry Ford Hospital
Ultrasound Abdomen,HB US ABDOMEN COMPLETE,602,Henry Ford Hospital
Ultrasound Pelvic,HB US PELVIC NON-OB COMPLETE,617,Henry Ford Hospital
MRI Abdomen,MRI ABDOMEN W & W/O CONTRAST,1997.75,Carolinas Medical Center
MRI Brain,MRI BRAIN FUNCTION IMAG W/ PHYSICIAN,1514.13,Carolinas Medical Center
MRI Breast,MRI BREAST BILATERAL W & W/O CONTRAST,2524.55,Carolinas Medical Center
MRI Cardiac,MRI CARDIAC BLOOD FLOW STUDY,451.65,Carolinas Medical Center
MRI Chest,MRI CHEST W & W/O CONTRAST,2104.3,Carolinas Medical Center
MRI Pelvis,MRI PELVIS W & W/O CONTRAST,2101.03,Carolinas Medical Center
Computer Topography Head,CT HEAD/BRAIN W/O CONT  ,9426,JFK Medical Center
Computer Topography Pelvis,CT PELVIS W/O CONTRAST  ,9847,JFK Medical Center
Computer Topography Abdomen,CT ABDOMEN W/O CONT     ,10253,JFK Medical Center
Computer Topography Heart,CT HEART WO CN W QUAN CA,239,JFK Medical Center
Fluoroscopy,XR FLUOROSCOPY 0-60 MIN ,1344,JFK Medical Center
Ultrasound Abdomen,US ABDOMEN COMPLETE     ,4364,JFK Medical Center
Ultrasound Pelvic,US PELVIC COMPLETE      ,3199,JFK Medical Center
MRI Brain,MRI BRAIN W/O CONTRAST  ,4139,JFK Medical Center
MRI Chest,MRI CHEST W/O CONT      ,3848,JFK Medical Center
MRI Pelvis,MRI PELVIS W/O CONT     ,4613,JFK Medical Center
MRI Abdomen,MRI ABDOMEN W/O CONT    ,3848,JFK Medical Center
MRI Breast,CAD MRI BREAST          ,111,JFK Medical Center
Ultrasound Abdomen,SP US ABDOMEN LIMITED,375.35,Carolinas Medical Center
Fluoroscopy,HB XR FLUOROSCOPY 1HR/LESS,1,Cedars-Sinai Medical Center
Computer Topography Head,HB CT HEAD/BRAIN W CONT,5534.75,Cedars-Sinai Medical Center
Computer Topography Heart,HB CT HEART WO CONTRAST,5159.29,Cedars-Sinai Medical Center
Computer Topography Pelvis,HB CT PELVIS W CONTRAST,5534.75,Cedars-Sinai Medical Center
Computer Topography Abdomen,HB CT ABDOMEN WO CONTRAST,4586.32,Cedars-Sinai Medical Center
Ultrasound Abdomen,HB US ABDOMEN COMPLETE,2481.02,Cedars-Sinai Medical Center
Ultrasound Uterus,HB US PREG UTERUS LMTD,1335.94,Cedars-Sinai Medical Center
MRI Chest,HB MRI CHEST WO/W CONTRAST,8988.29,Cedars-Sinai Medical Center
MRI Pelvis,HB MRI PELVIS WO CONTRAST,4508.18,Cedars-Sinai Medical Center
MRI Abdomen,HB MRI ABDOMEN WO/W CONT MRCP,9440.41,Cedars-Sinai Medical Center
MRI Breast,HB MRI BREAST WO/W CONT UNILAT,5306.47,Cedars-Sinai Medical Center
MRI Brain,HB MRI BRAIN FUNCT W MD ASST,6989.33,Cedars-Sinai Medical Center
MRI Breast,ABBREVIATED BREAST MRI,299.88,Duke University Hospital
Mammography,GEL MAMMOGRAM IMPLANT   ,15748,Chippenham and Johnston-Willis Medical Center
Ultrasound Abdomen,US ABDOMEN COMPLETE,2341.27,Covenant Medical Center
Computer Topography Head,CT HEAD BRAIN WO CON,3427.55,Covenant Medical Center
Computer Topography Cervical Spine,CT CERVICAL SPINE WO CONTRAST,3995.32,Covenant Medical Center
Computer Topography Thoracic Spine,CT THORACIC SPINE WO CONTRAST,3562.98,Covenant Medical Center
Computer Topography Lumbar Spine,CT LUMBAR SPINE WO CONTRAST,3594.62,Covenant Medical Center
Computer Topography Pelvis,CT PELVIS WO CON-PLUS PET,3750.28,Covenant Medical Center
Computer Topography Abdomen,CT ABDOMEN WO CONTRAST,3629.39,Covenant Medical Center
Computer Topography Heart,CT HEART WO CONTRAST,1605.67,Covenant Medical Center
Mammography,MAMMOGRAPHY POST PROCEDURE UNI,568.01,Covenant Medical Center
Fluoroscopy,FLUOROSCOPY MAX 1 HOUR RDG,1157,Grady Memorial Hospital
Computer Topography Heart,CT HEART W/O DYE;QUAL CALC OCT,147,Grady Memorial Hospital
Computer Topography Head,HEAD CTA W & W/O DYE ECT,6229,Grady Memorial Hospital
Computer Topography Cervical Spine,CERVICAL SPINE CT W/O DYE ECT,5302,Grady Memorial Hospital
Computer Topography Lumbar Spine,LUMBAR SPINE CT W/O DYE ECT,3577,Grady Memorial Hospital
Computer Topography Pelvis,PELVIS CTA W&WO DYE BCT,6194,Grady Memorial Hospital
Computer Topography Abdomen,ABDOMEN CT W/O DYE BCT,3661,Grady Memorial Hospital
Computer Topography Lower Extremity,Repair of Blood vessel direct lower extremity,1812,Grady Memorial Hospital
Ultrasound Abdomen,US ABDOMINAL   LTD,1412,Grady Memorial Hospital
Ultrasound Uterus,US PREG UTERUS 1ST GEST,1417,Grady Memorial Hospital
MRI Chest,MRI CHEST W/O DYE,4087,Grady Memorial Hospital
MRI Abdomen,MRI ABDOMEN W/O DYE,5593,Grady Memorial Hospital
MRI Breast,MRI BREAST W AND/OR WO CONT INCL CAD UNI,491,Grady Memorial Hospital
MRI Brain,MRI BRAIN W/O DYE,5236,Grady Memorial Hospital
MRI Pelvis,MRI PELVIS W/O DYE,4087,Grady Memorial Hospital
MRI Cardiac,MR CARDIAC MRI FOR VELOCITY FLOW MAPPING,2506,Grady Memorial Hospital
Computer Topography Abdomen,CT ABDOMEN ABLAT CRYO MICRO,1420.44,Duke University Hospital
Computer Topography Head,CT HEAD/BRAIN W CNTRST,666.4,Duke University Hospital
Computer Topography Lower Extremity,CT LOWER EXTREMITY WO CONTRAST,564.48,Duke University Hospital
Computer Topography Lumbar Spine,CT LUMBAR SPINE W CNTRST,831.88,Duke University Hospital
Computer Topography Pelvis,CT PELVIS W CNTRST,686.84,Duke University Hospital
MRI Abdomen,MRI ABDOMEN W CNTRST,1024.8,Duke University Hospital
MRI Brain,MRI BRAIN INTRAOP W& W/O CONTRAST,1236.2,Duke University Hospital
MRI Chest,MRI CHEST W CNTRST,1148,Duke University Hospital
MRI Pelvis,MRI PELVIS W CNTRST,1024.8,Duke University Hospital
MRI Breast,MRI BREAST BI WO/W CM,10091.18,Hahnmann University Hospital
MRI Pelvis,MRI PELVIS WO/W CONTRAST,8815.32,Hahnmann University Hospital
MRI Brain,MRI BRAIN WO/W CONTRAST,8315.97,Hahnmann University Hospital
MRI Abdomen,MRI ABDOMEN WO/W CM,8231.26,Hahnmann University Hospital
MRI Chest,MRI CHEST WO/W CONTRAST,8213.62,Hahnmann University Hospital
Computer Topography Abdomen,CT ABDOMEN WO/W CM,7244.53,Hahnmann University Hospital
Computer Topography Pelvis,CT PELVIS WO/W CM,7241.22,Hahnmann University Hospital
Computer Topography Head,CT HEAD/BRAIN WO/W CONTR,7240.12,Hahnmann University Hospital
MRI Cardiac,CARDIAC MRI VF MAPPING,2878.32,Hahnmann University Hospital
Ultrasound Abdomen,US ABDOMEN COMPLETE,2565.3,Hahnmann University Hospital
Ultrasound Pelvic,US PELVIC COMPLETE,2242.32,Hahnmann University Hospital
Fluoroscopy,FLUOROSCOPY <1HOUR,1558.27,Hahnmann University Hospital
Fluoroscopy,FLUOROSCOPY,1123,Jackson Memorial Hospital
Computer Topography Heart,CORONARY IVUS/OCT HEART EA ADD,3918,Jackson Memorial Hospital
Computer Topography Cervical Spine,HC CT CERVICAL SPINE W/O CONTRAST,3549,Hospital of the University of Pennsylvania
Computer Topography Pelvis,HC CT PELVIS COMBINED,5227,Hospital of the University of Pennsylvania
Computer Topography Thoracic Spine,HC CT THORACIC SPINE W/O CONTRAST,3549,Hospital of the University of Pennsylvania
Computer Topography Abdomen,HC CT ABDOMEN COMBINED,5497,Hospital of the University of Pennsylvania
Computer Topography Lower Extremity,HC CT LOWER EXTREMITY W/O CONTRAS,3101,Hospital of the University of Pennsylvania
Computer Topography Head,HC CT HEAD UNENHANC EXT,2810,Hospital of the University of Pennsylvania
Computer Topography Lumbar Spine,HC CT LUMBAR SPINE WITH CONTRAST,4091,Hospital of the University of Pennsylvania
Ultrasound Abdomen,HC TRANSVERSUS ABDOMINAL PLAN TAP UNI,1024,Hospital of the University of Pennsylvania
Mammography,HC IAGNOSTICMAMMOGRAPHYDIGITAL,1172,Hospital of the University of Pennsylvania
Fluoroscopy,HC MOTION FLUOROSCOPY/SWALLOW,910,Hospital of the University of Pennsylvania
Computer Topography Abdomen,CT ABDOMEN+PELVIS W/O CONTRAST,3879,Jackson Memorial Hospital
MRI Breast,HC MRI BREAST BILAT W/CONTRAST,13905,Hospital of the University of Pennsylvania
MRI Pelvis,HC MRI PELVIS WITH & W/O CONTRAST,13703,Hospital of the University of Pennsylvania
MRI Chest,HC MRI CHEST W/CONTRAST,8435,Hospital of the University of Pennsylvania
MRI Abdomen,HC MRI ABDOMEN WITHOUT CONTRAST,6705,Hospital of the University of Pennsylvania
MRI Brain,HC MRI BRAIN W/O CONTRAST,7075,Hospital of the University of Pennsylvania
Computer Topography Pelvis,CT PELVIS W/O CONTRAST,1976,Jackson Memorial Hospital
Mammography,MAMMOGRAM   LEFT,165,Jackson Memorial Hospital
MRI Breast,MRI BREAST UNILAT PLAIN RT,2636,Jackson Memorial Hospital
XRay Bone Density,XR BONE DENSITY AXIAL 1OR MORE,125,Jackson Memorial Hospital
Computer Topography Heart,HC CT HEART W/CA+ TEST WO,165,Morristown Memorial Hospital
